Id;Date;Température Max;Température Min;Ville;Region
1;17-déc;13;7;nice;provence-alpes-cote-d-azur
2;18-déc;13;8;nice;provence-alpes-cote-d-azur
3;19-déc;13;8;nice;provence-alpes-cote-d-azur
4;20-déc;13;8;nice;provence-alpes-cote-d-azur
5;21-déc;12;2;nice;provence-alpes-cote-d-azur
6;22-déc;11;3;nice;provence-alpes-cote-d-azur
7;23-déc;13;3;nice;provence-alpes-cote-d-azur
8;17-déc;13;3;aix-en-provence;provence-alpes-cote-d-azur
9;18-déc;12;5;aix-en-provence;provence-alpes-cote-d-azur
10;19-déc;11;4;aix-en-provence;provence-alpes-cote-d-azur
11;20-déc;6;1;aix-en-provence;provence-alpes-cote-d-azur
12;21-déc;9;-2;aix-en-provence;provence-alpes-cote-d-azur
13;22-déc;10;0;aix-en-provence;provence-alpes-cote-d-azur
14;23-déc;12;6;aix-en-provence;provence-alpes-cote-d-azur
15;17-déc;14;6;marseille;provence-alpes-cote-d-azur
16;18-déc;13;10;marseille;provence-alpes-cote-d-azur
17;19-déc;14;9;marseille;provence-alpes-cote-d-azur
18;20-déc;8;5;marseille;provence-alpes-cote-d-azur
19;21-déc;10;4;marseille;provence-alpes-cote-d-azur
20;22-déc;12;5;marseille;provence-alpes-cote-d-azur
21;23-déc;13;9;marseille;provence-alpes-cote-d-azur
22;17-déc;9;5;caen;normandie
23;18-déc;14;9;caen;normandie
24;19-déc;14;5;caen;normandie
25;20-déc;8;4;caen;normandie
26;21-déc;11;7;caen;normandie
27;22-déc;10;8;caen;normandie
28;23-déc;12;9;caen;normandie
29;17-déc;5;2;dijon;bourgogne-franche-comte
30;18-déc;11;2;dijon;bourgogne-franche-comte
31;19-déc;10;3;dijon;bourgogne-franche-comte
32;20-déc;4;2;dijon;bourgogne-franche-comte
33;21-déc;6;2;dijon;bourgogne-franche-comte
34;22-déc;6;4;dijon;bourgogne-franche-comte
35;23-déc;9;5;dijon;bourgogne-franche-comte
36;17-déc;7;0;besancon;bourgogne-franche-comte
37;18-déc;12;2;besancon;bourgogne-franche-comte
38;19-déc;11;3;besancon;bourgogne-franche-comte
39;20-déc;3;1;besancon;bourgogne-franche-comte
40;21-déc;5;1;besancon;bourgogne-franche-comte
41;22-déc;6;4;besancon;bourgogne-franche-comte
42;23-déc;7;4;besancon;bourgogne-franche-comte
43;17-déc;8;5;brest;bretagne
44;18-déc;6;2;brest;bretagne
45;19-déc;8;5;brest;bretagne
46;20-déc;6;2;brest;bretagne
47;21-déc;2;-1;brest;bretagne
48;22-déc;3;0;brest;bretagne
49;23-déc;2;1;brest;bretagne
50;17-déc;11;2;nimes;occitanie
51;18-déc;13;5;nimes;occitanie
52;19-déc;11;6;nimes;occitanie
53;20-déc;9;4;nimes;occitanie
54;21-déc;11;2;nimes;occitanie
55;22-déc;12;4;nimes;occitanie
56;23-déc;14;7;nimes;occitanie
